Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
09-03-2022,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034.00,38059.90234,39304.44141,37957.38672
10-03-2022,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711.00,38742.81641,42465.67188,38706.09375
11-03-2022,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465.00,41974.07031,42004.72656,38832.94141
12-03-2022,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657.00,39439.96875,40081.67969,38347.43359
13-03-2022,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310.00,38794.46484,39308.59766,38772.53516
14-03-2022,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070.00,38884.72656,39209.35156,37728.14453
15-03-2022,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868.00,37846.31641,39742.5,37680.73438
16-03-2022,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192.00,39664.25,39794.62891,38310.21094
17-03-2022,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093.00,39335.57031,41465.45313,39022.34766
18-03-2022,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942.00,41140.84375,41287.53516,40662.87109
19-03-2022,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187.00,40944.83984,42195.74609,40302.39844
20-03-2022,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682.00,41794.64844,42316.55469,41602.66797
21-03-2022,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271.00,42191.40625,42241.16406,41004.75781
22-03-2022,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376.00,41246.13281,41454.41016,40668.04297
23-03-2022,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069.00,41074.10547,43124.70703,40948.28125
24-03-2022,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291.00,42364.37891,42893.50781,41877.50781
25-03-2022,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034.00,42886.65234,44131.85547,42726.16406
26-03-2022,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995.00,43964.54688,44999.49219,43706.28516
27-03-2022,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722.00,44349.85938,44735.99609,44166.27344
28-03-2022,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703.00,44505.35547,46827.54688,44437.29297
29-03-2022,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069.00,46821.85156,48086.83594,46690.20313
30-03-2022,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962.00,47100.4375,48022.28906,47100.4375
31-03-2022,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106.00,47456.89844,47655.14844,46746.21094
01-04-2022,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287.00,47062.14844,47512.02734,45390.53906
02-04-2022,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194.00,45554.16406,46616.24219,44403.14063
03-04-2022,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610.00,46285.5,47028.28125,45782.51172
04-04-2022,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455.00,45859.12891,47313.47656,45634.10547
05-04-2022,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055.00,46445.27344,46791.08984,45235.81641
06-04-2022,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788.00,46624.50781,47106.14063,45544.80859
07-04-2022,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106.00,45544.35547,45544.35547,43193.95313
08-04-2022,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394.00,43207.5,43860.69922,42899.90625
09-04-2022,42282.07813,42786.81641,42183.25391,42782.13672,42782.13672,16050772496.00,43505.13672,43903.01953,42183.28906
10-04-2022,42781.08984,43376.37891,42021.20703,42207.67188,42207.67188,17654475582.00,42282.07813,42786.81641,42183.25391
11-04-2022,42201.03906,42424.58984,39373.05859,39521.90234,39521.90234,33949912166.00,42781.08984,43376.37891,42021.20703
12-04-2022,39533.71484,40617.58594,39388.32813,40127.18359,40127.18359,30991500854.00,42201.03906,42424.58984,39373.05859
13-04-2022,40123.57031,41430.05469,39712.74609,41166.73047,41166.73047,27691105228.00,39533.71484,40617.58594,39388.32813
